编号,sku,地区,仓库,可视组,图片,中文名称,包材sku,产品类别,产品品类,采购链接,规格,箱子规格,最小订购量,体积,重量,体积重,本期采购价,国内运费,国际运费,供应链产品报价,仓库操作费,合作商最低售价外币,合作商活动最低售价外币,市场报价人,预估低售毛利,预估平台佣金(CNY),套餐,关键词,主推方向,产品素材包,产品状态,已上架店铺,私有,最近调价,SKU评分,隐藏,标签,创建日期,更新日期,是否为新品,是否上架店铺,店铺
"2615","697JLYF006648","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","LYDIMOON晚安冻膜","","自主品牌","日化品","自主品牌","4ml*20pcs","72","10000","0.00067275","0","0","1.82","0.30","1.14","3.26","4.00","Shopee：195.00Lazada：195.00","Shopee：175.00Lazada：175.00","Shopee：涂守鸿Lazada：黄荣宽","Shopee：32.39Lazada：32.39","2.00","Lazada套餐：买一送一（同款）不参与赠礼品活动 ","ผิวหน้าชุ่มชื้นเด้ง 皮肤滋润有弹性  สลีปปิ้งมาส์กผิวนุ่มเด้ง 晚安冻膜肌肤柔软有弹性","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2023-04-26 12:24:37","2025-06-10 16:08:48","undefined","undefined","undefined"
"2614","JLTH00612821","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","深棕","","通货","日化品","详情","深棕","96","96","0.0007678125","0","0","9.59","0.70","1.38","0.00","4.00","Shopee：99","Shopee：99","Shopee：涂守鸿Lazada：黄荣宽","Shopee：15.15","2.00","","","","暂无产品素材","下架","","否","undefined","100","显示","undefined","2023-04-26 12:24:37","2025-06-10 16:08:48","undefined","undefined","undefined"
"2544","697JLYF006645","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","LYDIMOON益生菌漱口水","","自主品牌","未分类","自主品牌","250ml","48","10000","0.00085215","","","3.21","0.30","1.53","5.04","4.00","Shopee：169.00Lazada：169.00","Shopee：149.00Lazada：149.00","Shopee：涂守鸿Lazada：黄荣宽","Shopee：25.05Lazada：25.05","2.00","Shopee套餐：全部成本约12-15RMB，不建议亏钱去设定价格","ลมหายใจสดชื่น 清新口气 น้ำยาบ้วนปากลมหายใจสดชื่น 清新口气漱口水","","暂无产品素材","自由定价","","否","undefined","100","显示","undefined","2023-03-31 12:07:19","2025-06-10 16:08:48","undefined","undefined","undefined"
"2543","697JLYF006644","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","LYDIMOON益生菌美白牙膏","","自主品牌","日化品","自主品牌","120g","72","10000","0.0007007","0","0","3.59","0.30","1.19","5.08","4.00","Shopee：199.00Lazada：199.00","Shopee：179.00Lazada：179.00","Shopee：涂守鸿Lazada：黄荣宽","Shopee：31.43Lazada：31.43","2.00","Lazada套餐：买一送一（同款）不参与赠礼品活动 ","ฟอกฟันขาว 美白牙齿 ยาสีฟันฟอกฟันขาว 美白牙膏","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2023-03-31 12:07:19","2025-06-10 16:08:48","undefined","undefined","undefined"
"2542","697JLYF006643","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","LYDIMOON美白干性牙贴（7对装）","","自主品牌","日化品","自主品牌","7对/盒","180","5000","0.00050442175732218","0","0","12.50","0.30","0.86","13.66","4.00","Shopee：269.00Lazada：269.00","Shopee：249.00Lazada：249.00","Shopee：涂守鸿Lazada：黄荣宽","Shopee：37.79Lazada：37.79","2.00","","ฟอกฟันขาว 美白牙齿 แผ่นฟอกฟันขาว 美白牙贴","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2023-03-31 12:07:19","2025-06-10 16:08:48","undefined","undefined","undefined"
"2541","697JLYF006642","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","LYDIMOON牙齿美白凝胶笔","","自主品牌","日化品","自主品牌","2ml","1280","5000","0.00010192","0","0","4.90","0.30","0.17","5.37","4.00","Shopee：229.00Lazada：229.00","Shopee：209.00Lazada：209.00","Shopee：涂守鸿Lazada：黄荣宽","Shopee：37.55Lazada：37.55","2.00","","ฟอกฟันขาว 美白牙齿 เจลฟอกฟันขาว 美白凝胶","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2023-03-31 12:07:19","2025-06-10 16:08:48","undefined","undefined","undefined"
"2492","JLTH00612819","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","美白沐浴露300ml","","通货","日化品","详情","300ml","32","32","0.00122304","0","0","4.20","0.80","2.20","0.00","4.00","Shopee：99","Shopee：99","Shopee：涂守鸿Lazada：黄荣宽","Shopee：15.15","2.00","","","","暂无产品素材","下架","","否","undefined","100","显示","undefined","2023-03-13 17:14:47","2025-06-10 16:09:28","undefined","undefined","undefined"
"2490","JLTH00612818","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","指甲液30ml+锉刀+创可贴4张+棉签4根","","通货","日化品","详情","30ml+锉刀+创可贴4张+棉签4根","200","200","0.0002033928","0","0","2.64","0.41","0.35","3.40","4.00","Shopee：169.00","Shopee：149.00","Shopee：涂守鸿Lazada：黄荣宽","Shopee：26.69","2.00","","灰指甲液 เซรั่มแก้เชื่อราที่เล็บ 修复灰指甲 ซ่อมแซมเชื้อราที่เล็บ 修复坏甲 ซ่อมแซมเล็บเสีย","","暂无产品素材","正常备货","","否","undefined","100","显示","undefined","2023-03-02 11:49:40","2025-06-10 16:09:28","undefined","undefined","undefined"
"2489","JLTH00612817","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","翼颜水杨酸毛孔细致霜30g","","通货","日化品","详情","30g","200","200","0.000156156","0","0","1.00","0.35","0.28","0.00","4.00","Shopee：99","Shopee：99","Shopee：涂守鸿Lazada：黄荣宽","Shopee：15.15","2.00","","","","暂无产品素材","清库存","","否","undefined","100","显示","undefined","2023-03-02 11:49:40","2025-06-10 16:09:28","undefined","undefined","undefined"
"2488","JLTH00612816","泰国","泰国二仓"," 陈俊钦组,东莞市星航,丽人妆,南宁LAZADA,吴裕强组,品牌部,尧敏知组,广东杰通,广西加速度,广西国投,广西深六,广西鹏派,易毅组,朱祖泽组,林志刚组,涂守鸿组,深圳市比邻信息科技有限公司,深圳市海镒跨境科技有限公司,深圳焱晟,深圳福永,深圳统达,王永福组,福建歌尔,第四期11/15,统达供应链,苏彬分部,苏籽松组,蒙洁梅组,袁丽组,覃俊强组,长沙火象科技,闭应树组,黄宇航分公司,黄炜权分公司,黄荣宽组,黄谈客组","","翼颜15%壬二酸净颜凝露30g","","通货","日化品","详情","30g","200","200","0.000156156","0","0","1.00","0.35","0.28","0.00","4.00","Shopee：99","Shopee：99","Shopee：涂守鸿Lazada：黄荣宽","Shopee：15.15","2.00","","","","暂无产品素材","清库存","","否","undefined","100","显示","undefined","2023-03-02 11:49:40","2025-06-10 16:09:28","undefined","undefined","undefined"
